File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
3d9ab482-9d8e-40ca-b774-9b5c68b59789	acf3d05a-0ca4-4fee-8f07-44b93017b5fd.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-ZP-A9CY	TCGA-ZP-A9CY-01A	Primary Tumor
299a2914-6415-4d65-bacb-4a036de2c036	ca28f377-d686-41f9-90fb-9da55fec40cb.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-EP-A12J	TCGA-EP-A12J-11A	Solid Tissue Normal
096529d6-cefd-444b-ac04-bd77e9098c20	ad114591-0409-4bc5-8f0b-dbb44a5ad0eb.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-A73C	TCGA-DD-A73C-01A	Primary Tumor
374c9093-b8bf-4506-ae01-61db63927888	e506c101-f715-4ec6-97e0-c06b57b1aa4b.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-AAW1	TCGA-DD-AAW1-01A	Primary Tumor
94cac39c-f479-45de-bc4f-073df19eb43e	3576181c-00cb-4ced-a01e-98e36c5ccb47.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-UB-A7MD	TCGA-UB-A7MD-01A	Primary Tumor
06ba6f0c-2dbb-431f-bdaf-ffce9a4acd33	26ed5a27-73f0-441f-bb31-f61d80ca1d51.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-A39X	TCGA-DD-A39X-11A	Solid Tissue Normal
f304bc76-75c7-4ad6-8f7e-b4ba2834fe5f	1cad3ea0-5791-4db3-834f-e20a69e43c6b.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-A11C	TCGA-DD-A11C-11A	Solid Tissue Normal
a0e4fe0c-d6f7-4f67-9f2d-dca04e61cbd6	4e5a770a-15c3-4869-b40a-2a6a7571c43a.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-2Y-A9GX	TCGA-2Y-A9GX-01A	Primary Tumor
3150849f-149a-42d3-9e0b-86b62ff91aad	849d6286-68b5-4f23-933f-cb16233182f6.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-AAE9	TCGA-DD-AAE9-01A	Primary Tumor
3f6523a8-5f28-4eb4-b6a8-9af72df2fd40	f72fe51e-7fa1-41e9-b906-5fd6c0bd67f2.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-AADM	TCGA-DD-AADM-01A	Primary Tumor
d02c6401-e1db-4ed2-85dd-f047bc127d6a	7e544e23-5e93-4444-9938-088e11af1e45.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-BC-A110	TCGA-BC-A110-11A	Solid Tissue Normal
a44469d7-f577-4188-8d4c-fd611e5e22ab	99c2dd95-0ea8-4159-8dc2-1ed74d2f98ad.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-A4NN	TCGA-DD-A4NN-01A	Primary Tumor
917e9dd3-48b0-4014-8632-df12b2438690	186eef89-94fb-4a1c-9a81-f37733cea0f6.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-AAE8	TCGA-DD-AAE8-01A	Primary Tumor
cdf4864f-18ae-460a-8fbe-57177f6bf30c	4faf0730-c99c-4ffd-aa5c-f88facfadc22.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-AAE4	TCGA-DD-AAE4-01A	Primary Tumor
29b8e5ca-164e-47a0-975a-1bfe12ee415b	aa788683-c450-4324-b955-f9c37943622b.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-RG-A7D4	TCGA-RG-A7D4-01A	Primary Tumor
8816a486-2f90-4b6b-8dcb-4d2ef493fc8d	342aff96-4185-4216-ba76-672a53535719.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-A114	TCGA-DD-A114-01A	Primary Tumor
3fc25b84-6256-40b3-82df-8694cd7e45d1	2adb35ac-1ec2-45c9-837a-efc4eb7595be.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-ZS-A9CD	TCGA-ZS-A9CD-01A	Primary Tumor
bdfb9655-6296-4494-8e31-c0727c5cd495	9f69d15c-37d7-4864-a081-b5bc2ee2c228.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-BC-A10X	TCGA-BC-A10X-11A	Solid Tissue Normal
bf7e5b05-adb4-4cb6-b423-b21f9e54143c	516c902d-f4ac-4a9b-8913-4425aa2b25d0.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-AAD3	TCGA-DD-AAD3-01A	Primary Tumor
2205c814-2a4c-4052-af03-b37dc83b3d08	17b55c6c-0cb8-4ac9-98a0-a11e132c2ef9.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-GJ-A3OU	TCGA-GJ-A3OU-01A	Primary Tumor
8c4342ca-7581-4618-9279-561f85ed15b3	e15f71db-2d5a-4c5b-87f7-9116e6438696.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-A4ND	TCGA-DD-A4ND-01A	Primary Tumor
445e8e47-67a5-4f63-8133-9b7f9ec9feec	3f72e70d-9a02-4e0d-bf6a-54c0571feb6f.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-CC-A8HS	TCGA-CC-A8HS-01A	Primary Tumor
9073dd21-189f-466d-b404-f07ab40115f6	9964e88d-3bd6-4732-83d1-47996e3edc33.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-CC-A5UD	TCGA-CC-A5UD-01A	Primary Tumor
b4c702c0-765b-46eb-b7d2-8d21fa1a26b7	cb397725-dd14-428f-a0db-ea518d15ea68.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-EP-A3JL	TCGA-EP-A3JL-01A	Primary Tumor
5db14648-c079-4bec-a4f7-a09ad84aee58	ea44663a-8213-475a-96a7-388a1336d8ba.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-RC-A7S9	TCGA-RC-A7S9-01A	Primary Tumor
2822abab-df09-4b94-bbab-3cb7568eeb2a	a37291cc-6784-4d48-b4a0-27d2350c2dc5.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-A4NF	TCGA-DD-A4NF-01A	Primary Tumor
ccd11d05-8199-4a10-8215-1af618a2a2ec	40f5172c-e22b-4663-9c4a-dde3297fa6fd.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-DD-A119	TCGA-DD-A119-11A	Solid Tissue Normal
a30f0500-0eed-4e5d-a6cc-d76dee6883c9	d8cb4b80-dee8-492f-85f1-80d057bb8491.mirbase21.isoforms.quantification.txt	Transcriptome Profiling	Isoform Expression Quantification	TCGA-LIHC	TCGA-UB-AA0U	TCGA-UB-AA0U-01A	Primary Tumor
